label-coarse,text
5,what two countries is andorra nestled between ?
OTHERS,what tale has the moral : `` he who wants everything gets nothing '' ?
3,"who claimed he killed 4 , 280 buffalo as food for the crew building the kansas pacific railway ?"
4,how long is camptown racetrack ?
OTHERS,how can i find out my biorhythm ?
3,what kind of organization is ` last chance for animals ' ?
2,"what does r.e.m. stand for , as in the rock group r.e.m. ?"
OTHERS,how do you pronounce `` tzimisce '' ?
5,where is mccarren airport ?
OTHERS,what is a heuristic ?
OTHERS,what are the rules to `` snow golf '' ?
4,how many colors are there in a rainbow ?
OTHERS,what famed gangland slaughter cut into the membership of bugs moran 's outfit ?
OTHERS,what does inuit and eskimo mean ?
OTHERS,how do i find a snowboarding website ?
4,what year is etched on the gold medal of excellence from the paris exposition depicted on a can of campbell 's tomato soup ?
5,what new york city landmark has 168 steps to its crown ?
5,what island is home to statues called mauis ?
5,what city does mccarren airport serve ?
3,"what president was buried at his ancestral home overlooking the hudson river at hyde park , new york ?"
OTHERS,how do you send a movie transcript to hollywood so that it can be produced into a film ?
3,what is pittsburgh 's baseball team called ?
OTHERS,which language has the most words ?
OTHERS,what is a turnkey contract ?
5,"where is the actress , marion davies , buried ?"
5,what is the best hospital for orthopedics in the country ?
3,what king boycotted prince charles 's wedding ?
3,what 19th-century painter died in the marquesas islands ?
OTHERS,what does saliva consist of ?
4,what is the average time it takes for a male to ejaculate ?
3,who is robin williams ?
4,in what year was gandhi assassinated ?
3,which japanese car maker had its biggest percentage of sale in the domestic market ?
OTHERS,what is `` the soft drink for adults '' ?
OTHERS,what 1981 candice bergen-jacqueline bisset movie was a remake of 1943 's old acquaintance ?
3,who was the 16th president of the united states ?
3,who was the last u.s. president to reinstate selective service registration ?
5,where can i find detailed information about manchukuo ?
OTHERS,what is the history of the soft drink mr. pibb ?
3,what toy company is the world 's no.1 maker of female apparel ?
OTHERS,what 's the geographic term for the submerged fringe of a continent ?
3,who shot lee harvey oswald ?
5,where is the rose bowl played ?
5,where can i get a map of prussia on the internet ?
OTHERS,how has tv affected our society ?
3,"what group included abbey hoffman , jerry rubin , and tom hayden ?"
3,whose acceptance speech of more than 3 minutes prompted a time limit on academy award thank-yous ?
OTHERS,what are amicable numbers ?
3,who replies `` i know '' to princess leia 's confession `` i love you '' in the empire strikes back ?
5,"what country covers 8 , 600 , 387 square miles ?"
5,"where can i find a tape or book to help me say , write and understand japanese ?"
4,how many people in tucson ?
5,what southwestern state is dubbed the silver state ?
4,what is the population of kansas ?
3,who shot billy the kid ?
OTHERS,what is a fear of robbers ?
3,who is actress goldie hawn 's current actor boyfriend ?
5,what gate opened on east and west berlin ?
OTHERS,what is the name of the disease that actress hunter tylo 's baby girl has ?
OTHERS,"what john steinbeck novel portrays the joad family , driven from the oklahoma dustbowl ?"
OTHERS,what is the only vegetable that starts with `` z '' ?
2,what is the abbreviation for original equipment manufacturer ?
OTHERS,what brand of jeans did calvin klein admit in a 1984 interview he felt more comfortable wearing ?
OTHERS,what are manifest and latent function theories ?
OTHERS,what auto race was wilbur reed the first to win three times ?
4,"in south korea , how many american soldiers are there ?"
4,how many layers does a bottle of yoo-hoo settle into ?
5,what state is mount mckinley in ?
OTHERS,what organic fuel do bog-dwellers use a `` slane '' to cut ?
4,how long was the oj simpson trial ?
OTHERS,what colors make up a rainbow ?
OTHERS,how do movie blues screens work ?
3,what court does bob woodward describe in the brethren ?
OTHERS,why do we call someone `` honey '' ?
OTHERS,which two products use a tiger as their symbol ?
